ID,tid,confirmed_planet
0,TIC 18067025,1
1,TIC 4749723,0
2,TIC 23769326,1
3,TIC 4749946,0
4,TIC 139086171,1
5,TIC 4750565,0
6,TIC 229455001,1
7,TIC 4750626,0
8,TIC 229490898,1
9,TIC 4751405,0
10,TIC 229510866,1
11,TIC 4751714,0
12,TIC 3808740,1
13,TIC 4752066,0
14,TIC 82308728,1
15,TIC 5080084,0
16,TIC 229940491,1
17,TIC 5080227,0
18,TIC 229944666,1
19,TIC 5080792,0
20,TIC 119584412,1
21,TIC 5080808,0
22,TIC 160039081,1
23,TIC 5081804,0
24,TIC 160491359,1
25,TIC 5082125,0
26,TIC 5081741,0
27,TIC 198189972,1
28,TIC 5112058,0
29,TIC 23740089,1
30,TIC 5112092,0
31,TIC 135083444,1
32,TIC 9429404,0
33,TIC 165530380,1
34,TIC 165551882,1
35,TIC 137843225,1
36,TIC 138819293,1
37,TIC 224297258,1
38,TIC 224297408,1
39,TIC 224299081,1
40,TIC 153951307,1
41,TIC 9454344,0
42,TIC 154089169,1
43,TIC 229770036,1
44,TIC 229781583,1
45,TIC 154126149,1
46,TIC 229787062,1
47,TIC 229786610,1
48,TIC 9455301,0
49,TIC 230387153,1
50,TIC 9461686,0
51,TIC 9461737,0
52,TIC 233066156,1
53,TIC 233068569,1
54,TIC 10152100,0
55,TIC 233071822,1
56,TIC 10153938,0
57,TIC 158497525,1
58,TIC 10154079,0
59,TIC 158617175,1
60,TIC 10167206,0
61,TIC 10167479,0
62,TIC 10182131,0
63,TIC 230017325,1
64,TIC 10183902,0
65,TIC 230377505,1
66,TIC 10184159,0
67,TIC 230386259,1
68,TIC 10184240,0
69,TIC 10184244,0
70,TIC 232635922,1
71,TIC 10184293,0
72,TIC 232641326,1
73,TIC 10184929,0
74,TIC 232650365,1
75,TIC 10184905,0
76,TIC 10185028,0
77,TIC 10185341,0
78,TIC 243313296,1
79,TIC 10200577,0
80,TIC 243335710,1
81,TIC 10201295,0
82,TIC 10201609,0
83,TIC 267574918,1
84,TIC 10201961,0
85,TIC 269701147,1
86,TIC 10202415,0
87,TIC 284361752,1
88,TIC 10202779,0
89,TIC 287196418,1
90,TIC 10219387,0
91,TIC 356710041,1
92,TIC 10219629,0
93,TIC 198206613,1
94,TIC 10220580,0
95,TIC 198211976,1
96,TIC 10220905,0
